,precision,recall,f1-score,support
DALL-E,0.9897610921501706,0.9863945578231292,0.9880749574105622,294.0
DeepFaceLab,0.9915611814345991,0.9957627118644068,0.9936575052854123,236.0
Face2Face,0.993421052631579,0.993421052631579,0.993421052631579,152.0
FaceShifter,1.0,0.9870967741935484,0.9935064935064936,155.0
FaceSwap,1.0,0.9864864864864865,0.9931972789115646,222.0
Midjourney,0.993006993006993,0.993006993006993,0.993006993006993,143.0
NeuralTextures,0.9612903225806452,0.9933333333333333,0.9770491803278688,150.0
Real,1.0,0.998,0.998998998998999,1000.0
Stable Diffusion,0.9882697947214076,0.9941002949852508,0.9911764705882353,339.0
StyleGAN,0.9938650306748467,0.9938650306748467,0.9938650306748467,163.0
accuracy,0.9936930623686054,0.9936930623686054,0.9936930623686054,0.9936930623686054
macro avg,0.9911175467200242,0.9921467234999574,0.9915953961342556,2854.0
weighted avg,0.9937684683631288,0.9936930623686054,0.9937090787370455,2854.0
